receipt_number,ticker,window_start,window_end,baseline_start,baseline_end,event_start,event_end,baseline_observed_days,event_observed_days,baseline_median_ratio,event_mean_ratio,attention_excess,missing_reason,source_snapshot_sha256,collected_at
20260810800759,294870,2026-07-27,2026-08-12,2026-07-27,2026-08-07,2026-08-10,2026-08-12,12,3,71.51589,69.19315,-0.03255498233654652,,a3675d0c38e62aee4c7d94655db823bf1fc19f217a5912b996ce398c06c1e0c9,2026-08-23T15:03:46.345877Z
20260810900391,246960,2026-07-27,2026-08-12,2026-07-27,2026-08-07,2026-08-10,2026-08-12,12,3,32.48847,85.94469666666667,0.9540710455490267,,a1829455233a98a2127c5c89c737212decb9953840b8c7fdfe1bc2a11b26f790,2026-08-23T15:03:46.578601Z
20260810800210,013360,2026-07-27,2026-08-12,2026-07-27,2026-08-07,2026-08-10,2026-08-12,12,3,45.962455,78.8593,0.5309178835690265,,752fdb928d1a49f53bf18d576060f6eea8ad3fba4fe24bdf640d3d8433b23846,2026-08-23T15:03:46.805494Z
20260810900159,340360,2026-07-27,2026-08-12,2026-07-27,2026-08-07,2026-08-10,2026-08-12,12,3,61.833045,75.44463333333333,0.1960856021742936,,550562540bc6efad276789919d09ac7d5bcafa4825c5877d33a012e54e0e3e72,2026-08-23T15:03:47.070882Z
20260810900133,192410,2026-07-27,2026-08-12,2026-07-27,2026-08-07,2026-08-10,2026-08-12,12,3,60.55455499999999,87.11985333333332,0.3587740027694002,,52d3f1b5b603cc6867be81aa2d87e64be8c1bbe726c5303858d72f40338d6eec,2026-08-23T15:03:47.327628Z
20260810800144,329180,2026-07-27,2026-08-12,2026-07-27,2026-08-07,2026-08-10,2026-08-12,12,3,71.89872,90.33158333333334,0.22542557639102867,,ebcdb50b9f613727955d807596a409f952cac887e5efd1aef9bb26f6e98f4e27,2026-08-23T15:03:47.564322Z
20260810900134,018000,2026-07-27,2026-08-12,2026-07-27,2026-08-07,2026-08-10,2026-08-12,12,3,45.218795,81.29388999999999,0.5769103308023928,,5c6c37e5bdeef7ccf4bdc426b2f7cdd57a09d4c1e12799aea16e35dd00427b53,2026-08-23T15:03:47.804697Z
20260810800128,317400,2026-07-27,2026-08-12,2026-07-27,2026-08-07,2026-08-10,2026-08-12,12,3,75.816325,85.01700333333334,0.11312780722009474,,2c438ea4a7945da5ee6472e37db44b219434ced501d3c5daf93ae96ed5d335f8,2026-08-23T15:03:48.069453Z
20260807800878,294870,2026-07-24,2026-08-09,2026-07-24,2026-08-04,2026-08-07,2026-08-09,12,3,52.47148,23.51076666666667,-0.7800359508493768,,de357a9b46f5778a78ab19daa21fcfb530c3a08aabfa2364bba284458d93b7ab,2026-08-23T15:03:48.261922Z
20260807800114,006360,2026-07-24,2026-08-09,2026-07-24,2026-08-04,2026-08-07,2026-08-09,12,3,50.742149999999995,30.482276666666667,-0.4968479878334424,,88c52401913899a30a541734c8203db47cd9d01786c50f6ce25edc972f7a78f8,2026-08-23T15:03:48.460438Z
20260807800073,005690,2026-07-24,2026-08-09,2026-07-24,2026-08-04,2026-08-07,2026-08-09,12,3,66.132575,34.96700666666666,-0.6240673588753496,,de75170ced44e41a6216a0c71add98f0474ba50dab47a5cc51944b48e1140fc1,2026-08-23T15:03:48.702339Z
20260806900659,488900,2026-07-23,2026-08-08,2026-07-23,2026-08-03,2026-08-06,2026-08-08,12,3,56.049040000000005,66.44868000000001,0.16745576358831027,,c786915749a6e64d901fe7ba634418aeb20dc0b3de3f9ef48652d29068ecc47e,2026-08-23T15:03:48.985191Z
20260806900451,073540,2026-07-23,2026-08-08,2026-07-23,2026-08-03,2026-08-06,2026-08-08,12,3,45.896654999999996,52.27963,0.12760773081649557,,8008174e57ec1401c631d3cca9d80fdc022f74515436d41d4669c4ffafbe485f,2026-08-23T15:03:49.248191Z
20260806800457,217590,2026-07-23,2026-08-08,2026-07-23,2026-08-03,2026-08-06,2026-08-08,12,3,34.7387,48.31271,0.32194772189327603,,2cabd8f06e43bffffd5dc2ea55d001d310759c83622881ca14d9aa645c405f59,2026-08-23T15:03:49.499102Z
20260806800295,047040,2026-07-23,2026-08-08,2026-07-23,2026-08-03,2026-08-06,2026-08-08,12,3,59.065555,63.6412,0.07341542927629874,,fa1ef506fe5729bfe8a2dd78c0fe0453ad53fd84516ebd8ad5869d068510b68f,2026-08-23T15:03:49.752018Z
20260806800133,028100,2026-07-23,2026-08-08,2026-07-23,2026-08-03,2026-08-06,2026-08-08,12,3,65.43674,49.59839,-0.2723304591086726,,3aabf0ddb40c85ae75c947008a0ce60d731df0ba84015505b439c0a3203938c2,2026-08-23T15:03:50.226473Z
20260805800294,336260,2026-07-22,2026-08-07,2026-07-22,2026-08-02,2026-08-05,2026-08-07,12,3,18.567985,38.270253333333336,0.6965725072475073,,6c86c7ad535d9a9d17518971bafb2a34dafc15870efc20edbed12bdf9d193ca8,2026-08-23T15:03:50.425578Z
20260804800387,002990,2026-07-21,2026-08-06,2026-07-21,2026-08-01,2026-08-04,2026-08-06,12,3,53.28497,57.16897666666667,0.06910477260804981,,863b100341bdfc12466cc975f30dbb3c1f237b89d5443e1a600777d42ac87dab,2026-08-23T15:03:50.697026Z
20260804800385,002990,2026-07-21,2026-08-06,2026-07-21,2026-08-01,2026-08-04,2026-08-06,12,3,53.28497,57.16897666666667,0.06910477260804981,,863b100341bdfc12466cc975f30dbb3c1f237b89d5443e1a600777d42ac87dab,2026-08-23T15:03:50.939803Z
20260804900307,189330,2026-07-21,2026-08-06,2026-07-21,2026-08-01,2026-08-04,2026-08-06,12,3,31.7089,65.04223333333333,0.7026472242431101,,ef4d1548896ec42d1942776fe9ad17ab1c2c9e891c05343db9be7050efe84e8e,2026-08-23T15:03:51.226595Z
20260804900308,452430,2026-07-21,2026-08-06,2026-07-21,2026-08-01,2026-08-04,2026-08-06,12,3,42.28624,72.92440666666666,0.5352082379588738,,32944a0977e6ea8c98ee4beab6fc1eb53be3f2bf132604a8662176e5773e16f2,2026-08-23T15:03:51.450940Z
20260804900286,098070,2026-07-21,2026-08-06,2026-07-21,2026-08-01,2026-08-04,2026-08-06,12,3,53.208805,65.29373666666667,0.20125207402064227,,07a040b42b1e8d7b5cdbd672664a987188a2066ad4fe6df4510ea0246876699d,2026-08-23T15:03:51.738648Z
20260804900187,076080,2026-07-21,2026-08-06,2026-07-21,2026-08-01,2026-08-04,2026-08-06,12,3,36.00299,69.31137666666666,0.6419348957848028,,70a3ee155db3c21014e210b3a0ea0a4f113df55f6ba920364f52d5bccf8db172,2026-08-23T15:03:51.925067Z
20260804900178,174900,2026-07-21,2026-08-06,2026-07-21,2026-08-01,2026-08-04,2026-08-06,12,3,37.013234999999995,70.87698333333333,0.6370217043783293,,7ddb97f838c8976b5405909b1772d6303f4fc857405301b7669f2f23dda073c1,2026-08-23T15:03:52.141392Z
20260804900092,119850,2026-07-21,2026-08-06,2026-07-21,2026-08-01,2026-08-04,2026-08-06,12,3,34.54769,79.05635333333333,0.8118556281205023,,80c9cb66ee761ed6e96ad3d71ca5b9456645e63525d34f30455ca762a7fc7228,2026-08-23T15:03:52.416278Z
20260803901043,255220,2026-07-20,2026-08-05,2026-07-20,2026-07-31,2026-08-03,2026-08-05,12,3,18.75647,22.659753333333338,0.18029440038759637,,def38d29b1566f86fe0f213413479502091ce06a765f54d5449b73a22dfd191b,2026-08-23T15:03:52.684894Z
20260803900921,032580,2026-07-20,2026-08-05,2026-07-20,2026-07-31,2026-08-03,2026-08-05,12,3,50.025965,85.28138333333334,0.5252792336480834,,39b1e3ab05fd6973020daa203d21a1f9a8b50a03581759c1c901848dece71047,2026-08-23T15:03:52.954134Z
20260803800852,010780,2026-07-20,2026-08-05,2026-07-20,2026-07-31,2026-08-03,2026-08-05,12,3,54.457895,79.94863,0.3781906717690289,,e9caedc8c328c78f227c3809ddcf6cd0fe506496af2dbd8b12e846bcf647fa51,2026-08-23T15:03:53.199964Z
20260803800706,042660,2026-07-20,2026-08-05,2026-07-20,2026-07-31,2026-08-03,2026-08-05,12,3,87.27859000000001,72.14965333333333,-0.1879902210190414,,d6a177381e849f4d4147f1c899779112ec0e6f3d2e689078ce9912709a616709,2026-08-23T15:03:53.465153Z
20260803800398,010140,2026-07-20,2026-08-05,2026-07-20,2026-07-31,2026-08-03,2026-08-05,12,3,84.45953,83.17635666666666,-0.015128848418423324,,8733eea065ba1b03ba0205a8440c4ec05528edd14b7dd13dd86c676eb1275f6b,2026-08-23T15:03:53.725038Z
