receipt_number,received_date,ticker,corporation_name,report_name,market_class,contract_amount_krw,recent_revenue_krw,reported_revenue_ratio_percent,computed_revenue_ratio_percent,ratio_difference_percentage_points,source_document_sha256,collected_at
20260810800759,2026-08-10,294870,IPARK현대산업개발,단일판매ㆍ공급계약체결              ,Y,353296664980,4147006988796,8.5,8.519316845486498078452899759,0.019316845486498078452899759,2cc9342bc43127f1c1e4861b38a271572d34b2032ad74a7c2129d7e458d4e14d,2026-08-23T15:03:45.906919Z
20260810900391,2026-08-10,246960,SCL사이언스,단일판매ㆍ공급계약체결              ,K,7727272727,22010565275,35.1,35.10710711176862312546854842,0.00710711176862312546854842,57d457971f64302aedfbc1d9e58b925c54a15723ae0eac97fd8e2b7abdcf6f08,2026-08-23T15:03:45.908415Z
20260810800210,2026-08-10,013360,일성건설,단일판매ㆍ공급계약체결              ,Y,32650000000,452672899287,7.21,7.212713650723656823648968859,0.002713650723656823648968859,26871c83606a5ece3564913e9e2cfb46f7583a3c05d3c3981cf55a90a62b32c4,2026-08-23T15:03:45.909708Z
20260810900159,2026-08-10,340360,다보링크,단일판매ㆍ공급계약체결              ,K,7024600000,63202011258,11.11,11.11451971255240460879448299,0.00451971255240460879448299,7478d7afcb7cb36241665571ab0a20755ce5831fc3320daf0ac777f8ea711475,2026-08-23T15:03:45.910505Z
20260810900133,2026-08-10,192410,오늘이엔엠,단일판매ㆍ공급계약체결              ,K,7410958640,16693992539,44.39,44.39296724667117691467898409,0.00296724667117691467898409,b88ef3f319970620734beb201b0c4796323cd0bf2d968b0b829ebf90e1e605ba,2026-08-23T15:03:45.911808Z
20260810800144,2026-08-10,329180,HD현대중공업,단일판매ㆍ공급계약체결              ,Y,956000000000,17580600000000,5.44,5.437812133829334607465046699,-0.002187866170665392534953301,d97bb3e10a5748dbac90dd60592e7fc44a5e7e154c3604d5000758d2c8b14745,2026-08-23T15:03:45.914251Z
20260810900134,2026-08-10,018000,유니슨,단일판매ㆍ공급계약체결              ,K,4458700000,40267921584,11.07,11.07258538461943777485429008,0.00258538461943777485429008,7cd6db00b2a0324fd875b6ce0747527408872140196776078b457e238299459c,2026-08-23T15:03:45.915099Z
20260810800128,2026-08-10,317400,자이에스앤디,단일판매ㆍ공급계약체결              ,Y,200270700000,1387596056216,14.43,14.43292513717154019524753342,0.00292513717154019524753342,fe021215858e36aafb721ff1c75201eb7b83eed43c539aca66284dd1ec6e1b34,2026-08-23T15:03:45.916072Z
20260807800878,2026-08-07,294870,IPARK현대산업개발,단일판매ㆍ공급계약체결              ,Y,140271612719,4147006988796,3.4,3.382478329503009569010064177,-0.017521670496990430989935823,194c387d77b4349f3bfee6fd98f624336f09cb0edc1c36bb2ffc62a5a1327b88,2026-08-23T15:03:45.916868Z
20260807800114,2026-08-07,006360,GS건설,단일판매ㆍ공급계약체결              ,Y,408232163334,12450346685794,3.28,3.278881894909785620595482255,-0.001118105090214379404517745,675666ba0af43813af0ee6fe520097228c140f75977def060f29abf09d5c095c,2026-08-23T15:03:45.918765Z
20260807800073,2026-08-07,005690,파미셀,단일판매ㆍ공급계약체결              ,Y,7897210464,114061538479,6.92,6.923640141373302999668370798,0.003640141373302999668370798,6b60e1369004ea63efab21c3367c8a3ecf53b29912fe141dc099addecf70c0bd,2026-08-23T15:03:45.919507Z
20260806900659,2026-08-06,488900,비츠로넥스텍,단일판매ㆍ공급계약체결              ,K,53500000000,36790989927,145.42,145.4160382913145527007009691,-0.0039617086854472992990309,fdf3402c14f3c6bbb216e5dd66c2b3baf5749d02bbac97e3f6b27268ae939a7e,2026-08-23T15:03:45.920260Z
20260806900451,2026-08-06,073540,에프알텍,단일판매ㆍ공급계약체결              ,K,2866063280,25263688167,11.3,11.34459569424117805214041850,0.04459569424117805214041850,dae4b18f63ea7c173a53525e71bc0707c64503a4abaf440eaa7bb85c63518201,2026-08-23T15:03:45.921765Z
20260806800457,2026-08-06,217590,티엠씨,단일판매ㆍ공급계약체결              ,Y,22007919024,340884970260,6.46,6.456113042242403966995009984,-0.003886957757596033004990016,1d813e925ca6fdc21a7dd90408f588d453891cdd232fd19de87375c4308d6685,2026-08-23T15:03:45.922670Z
20260806800295,2026-08-06,047040,대우건설,단일판매ㆍ공급계약체결              ,Y,355602000000,8054627137857,4.41,4.414878478094404327517550176,0.004878478094404327517550176,b0e24599e3a24fa2278294b1af9e496e569afb137eb11fc374deb942eda8fd42,2026-08-23T15:03:45.923994Z
20260806800133,2026-08-06,028100,동아지질,단일판매ㆍ공급계약체결              ,Y,24309669290,467725500443,5.20,5.197422263052884517665964671,-0.002577736947115482334035329,e4a04cbadc86e1ba6ee20535b5d21982e5de4c1557170e21879bebd1457d1b66,2026-08-23T15:03:45.928776Z
20260805800294,2026-08-05,336260,두산퓨얼셀,단일판매ㆍ공급계약체결              ,Y,108700000000,454800000000,23.9,23.90061565523306948109058927,0.00061565523306948109058927,14c47e5bbacaf89fbb716bab5f4fa839989e381c4b31438c2c3603a34297b6ad,2026-08-23T15:03:45.930697Z
20260804800387,2026-08-04,002990,금호건설,단일판매ㆍ공급계약체결              ,Y,113390000000,2018488470870,5.62,5.617569861626563673353501793,-0.002430138373436326646498207,e37ec418915626878c61a0f3e0baf7e712ca8b14c8763da5d90cab256541bbf8,2026-08-23T15:03:45.935025Z
20260804800385,2026-08-04,002990,금호건설,단일판매ㆍ공급계약체결              ,Y,101487000000,2018488470870,5.03,5.027871175120337485824383425,-0.002128824879662514175616575,70558dd806dff7aa5db37e7b7104218fb0a16031395d42c47c4da1c30199a89a,2026-08-23T15:03:45.938434Z
20260804900307,2026-08-04,189330,씨이랩,단일판매ㆍ공급계약체결              ,K,30704163000,10272320511,298.9,298.9019177032179735109123875,0.0019177032179735109123875,4968768e007ae40be6d18c0057e3a3e785920995e9575dc0c52ddc2a7935cb37,2026-08-23T15:03:45.940977Z
20260804900308,2026-08-04,452430,사피엔반도체,단일판매ㆍ공급계약체결              ,K,7216133340,17312155993,42,41.68246486987393448217065173,-0.31753513012606551782934827,7a20e8698a414430ce8594e87b76908ee50f51486f93ccdd2fc7ee9209f1bc2d,2026-08-23T15:03:45.942331Z
20260804900286,2026-08-04,098070,한텍,단일판매ㆍ공급계약체결              ,K,17800000000,171902906776,10.35,10.35468238078980743063825479,0.00468238078980743063825479,ffa1f3d221d1d9782e9a9bb4a574e4509ab416ff58941f47443e9f8ddd8f5cbb,2026-08-23T15:03:45.943858Z
20260804900187,2026-08-04,076080,웰크론한텍,단일판매ㆍ공급계약체결              ,K,79900000000,166692738852,47.93,47.93250176958223874345343461,0.00250176958223874345343461,96dbb91ee85e6f4e3c4fcca32328307dbb67782529432bfa7c77b79d00424fd3,2026-08-23T15:03:45.945160Z
20260804900178,2026-08-04,174900,앱클론,단일판매ㆍ공급계약체결              ,K,824430000,4714084167,17.5,17.48865677391287867516770199,-0.01134322608712132483229801,872e82f63c13d3d63ca097c31be5ea1a489abc30b7468d0882dc9c4eeab4b358,2026-08-23T15:03:45.946651Z
20260804900092,2026-08-04,119850,지엔씨에너지,단일판매ㆍ공급계약체결              ,K,32810000000,262633597538,12.5,12.49268955212509624561361135,-0.00731044787490375438638865,6ef45042415839352bbf6af4ebc66a1a4467f6380ce55887c09bd3e2617017ae,2026-08-23T15:03:45.948669Z
20260803901043,2026-08-03,255220,SG,단일판매ㆍ공급계약체결              ,K,98518016636,102246199563,96.35,96.35371980285404791422291428,0.00371980285404791422291428,e44333fc8be2b55e38259024e4f15ccfe34e198af1b02e9cc5dfddcec6ce08b5,2026-08-23T15:03:45.951544Z
20260803900921,2026-08-03,032580,피델릭스,단일판매ㆍ공급계약체결              ,K,11427774335,53615518212,21.3,21.31430361227448430504409800,0.01430361227448430504409800,d04a477ab48ff5f451461142896b583894105a5d25bf68e771404d70c57e6342,2026-08-23T15:03:45.956398Z
20260803800852,2026-08-03,010780,아이에스동서,단일판매ㆍ공급계약체결              ,Y,110000000000,1234356436787,8.91,8.911526421519487833143329659,0.001526421519487833143329659,ffa73c3e2308b87c4d5b63765e9d1c0fea0d6b9cb16da0f0cba90f3fd79e9c4d,2026-08-23T15:03:45.958883Z
20260803800706,2026-08-03,042660,한화오션,단일판매ㆍ공급계약체결              ,Y,527900000000,12783500000000,4.1,4.129541987718543434896546329,0.029541987718543434896546329,1cbc0bc84af7b1776e05ab40fd0c61727b76fb39b7422cd2ec3582c958a37816,2026-08-23T15:03:45.961348Z
20260803800398,2026-08-03,010140,삼성중공업,단일판매ㆍ공급계약체결              ,Y,268000000000,10650000000000,2.5,2.516431924882629107981220657,0.016431924882629107981220657,f1af4cae9da85b624f8f645bcad768df9b801ec98c7f8b3773f27808a3eea854,2026-08-23T15:03:45.964634Z
20260803900322,2026-08-03,373170,엠아이큐브솔루션,단일판매ㆍ공급계약체결              ,K,2744446000,25620442016,10.71,10.71193853051438314420062970,0.00193853051438314420062970,00af2feb12b7f215c337818a2291a31fd9a5448b54ef5c3ac74ae7a569b924f5,2026-08-23T15:03:45.966176Z
20260803900306,2026-08-03,119850,지엔씨에너지,단일판매ㆍ공급계약체결              ,K,75508619091,262633597538,28.75,28.75055583095182206619178173,0.00055583095182206619178173,74f70e9ba109e33d4f1edf4704f7bc5b76a0ad336d5bd2ec129b14e1eced07dd,2026-08-23T15:03:45.967173Z
20260803800305,2026-08-03,010400,우진아이엔에스,단일판매ㆍ공급계약체결              ,Y,12203800000,164457886988,7.42,7.420623129427945754606073402,0.000623129427945754606073402,77bebde48f30c6dd109cccb2a1c1bfac62bc054903ec349628eb0e79ce9932c6,2026-08-23T15:03:45.968297Z
20260803900002,2026-08-03,444530,심플랫폼,단일판매ㆍ공급계약체결              ,K,2528250000,10404472896,24.30,24.29964521289671299461857909,-0.00035478710328700538142091,a03eba9487bafbb0e06eb0a24258c6b01796bfb6cf6bdb410014191758d0f408,2026-08-23T15:03:45.969047Z
20260731800547,2026-07-31,047040,대우건설,단일판매ㆍ공급계약체결              ,Y,241380850670,8054627137857,3.00,2.996797325794293274905977893,-0.003202674205706725094022107,f434064869a9cdef7682d6182c79bc2328602f101f56a3647fb0362ed4742ab5,2026-08-23T15:03:45.975243Z
20260731800502,2026-07-31,100090,SK오션플랜트,단일판매ㆍ공급계약체결              ,Y,71824424000,965388430763,7.44,7.439950771238596221362370257,-0.000049228761403778637629743,893ee3c617f9092737aff9918b7c47867d5630f7e9f9c087c1fb400d1acfbf11,2026-08-23T15:03:45.976201Z
20260731800361,2026-07-31,100090,SK오션플랜트,단일판매ㆍ공급계약체결              ,Y,160548682859,965388430763,16.63,16.63047512720962222215472195,0.00047512720962222215472195,0915a3d7b5ac73b4fd48513c6252f08b1de2cf145f2330287ebbb4fe7f170a73,2026-08-23T15:03:45.977104Z
20260731800210,2026-07-31,071970,HD현대마린엔진,단일판매ㆍ공급계약체결              ,Y,47549382720,402396221904,11.8,11.81655794257031956549221945,0.01655794257031956549221945,dfc41b9bcdccb73678d2475e3ffd969b7a746f943c9722eabcb57ce0b9993666,2026-08-23T15:03:45.978229Z
20260731800216,2026-07-31,042660,한화오션,단일판매ㆍ공급계약체결              ,Y,838000000000,12783500000000,6.6,6.555325223921461258653733328,-0.044674776078538741346266672,64a80b65d10fe96ae93c094ace51284be4cca4076386a46e6d03dd8be1043a73,2026-08-23T15:03:45.979220Z
20260730800911,2026-07-30,007110,일신석재,단일판매ㆍ공급계약체결              ,Y,4106242000,54503324545,7.53,7.533929414910702856832492327,0.003929414910702856832492327,a40bbf95d412559f716e49e169cc226e68dd16d72454e3e9577641c871276580,2026-08-23T15:03:45.979979Z
